tecnico_id,cliente_id,nivel,experiencia,puntos,calificacion_promedio,servicios_completados,tiempo_promedio_horas,incidentes_reportados,puntos_totales,recomendacion_etiqueta
2,11,3,2712,30554,2.0000000000000000,1,360.0000000000000000,0,0,mejorar
2,11,3,2712,30554,2.0000000000000000,1,72.0000000000000000,0,0,mejorar
2,11,3,2712,30554,5.0000000000000000,1,120.0000000000000000,0,0,reto_pendiente
2,84,3,2712,30554,4.5000000000000000,2,132.0000000000000000,0,0,reto_pendiente
2,84,3,2712,30554,5.0000000000000000,1,24.0000000000000000,0,0,reto_pendiente
2,37,3,2712,30554,3.7500000000000000,4,72.0000000000000000,0,0,reto_pendiente
2,37,3,2712,30554,4.5000000000000000,2,132.0000000000000000,0,0,reto_pendiente
2,102,3,2712,30554,4.0000000000000000,1,192.0000000000000000,0,0,reto_pendiente
2,102,3,2712,30554,1.00000000000000000000,1,312.0000000000000000,0,0,mejorar
2,186,3,2712,30554,3.6666666666666667,3,192.0000000000000000,0,0,reto_pendiente
2,186,3,2712,30554,1.00000000000000000000,1,48.0000000000000000,0,0,mejorar
2,186,3,2712,30554,4.0000000000000000,3,264.0000000000000000,0,0,reto_pendiente
2,186,3,2712,30554,5.0000000000000000,3,248.0000000000000000,0,0,reto_pendiente
2,163,3,2712,30554,4.5000000000000000,2,240.0000000000000000,0,0,reto_pendiente
2,163,3,2712,30554,4.0000000000000000,1,24.0000000000000000,0,0,reto_pendiente
2,163,3,2712,30554,2.0000000000000000,1,216.0000000000000000,0,0,mejorar
2,67,3,2712,30554,2.0000000000000000,1,120.0000000000000000,0,0,mejorar
2,67,3,2712,30554,5.0000000000000000,2,96.0000000000000000,0,0,reto_pendiente
2,67,3,2712,30554,2.7500000000000000,4,156.0000000000000000,0,0,mejorar
2,148,3,2712,30554,4.5000000000000000,2,144.0000000000000000,0,0,reto_pendiente
2,80,3,2712,30554,3.5000000000000000,2,228.0000000000000000,0,0,reto_pendiente
2,80,3,2712,30554,3.0000000000000000,1,336.0000000000000000,0,0,mejorar
2,80,3,2712,30554,4.0000000000000000,4,240.0000000000000000,0,0,reto_pendiente
2,139,3,2712,30554,3.0000000000000000,1,264.0000000000000000,0,0,mejorar
2,139,3,2712,30554,3.6666666666666667,3,168.0000000000000000,0,0,reto_pendiente
2,164,3,2712,30554,4.0000000000000000,3,200.0000000000000000,0,0,reto_pendiente
2,164,3,2712,30554,5.0000000000000000,1,120.0000000000000000,0,0,reto_pendiente
2,164,3,2712,30554,4.5000000000000000,2,276.0000000000000000,0,0,reto_pendiente
2,82,3,2712,30554,3.7500000000000000,4,210.0000000000000000,0,0,reto_pendiente
2,82,3,2712,30554,5.0000000000000000,2,252.0000000000000000,0,0,reto_pendiente
2,82,3,2712,30554,3.0000000000000000,1,96.0000000000000000,0,0,mejorar
2,9,3,2712,30554,1.00000000000000000000,1,288.0000000000000000,0,0,mejorar
2,9,3,2712,30554,4.5000000000000000,2,288.0000000000000000,0,0,reto_pendiente
2,9,3,2712,30554,3.0000000000000000,3,184.0000000000000000,0,0,mejorar
2,9,3,2712,30554,3.0000000000000000,1,264.0000000000000000,0,0,mejorar
2,66,3,2712,30554,5.0000000000000000,1,192.0000000000000000,0,0,reto_pendiente
2,18,3,2712,30554,2.3333333333333333,3,240.0000000000000000,0,0,mejorar
2,18,3,2712,30554,5.0000000000000000,1,120.0000000000000000,0,0,reto_pendiente
2,143,3,2712,30554,2.8000000000000000,5,192.0000000000000000,0,0,mejorar
2,143,3,2712,30554,3.7500000000000000,4,162.0000000000000000,0,0,reto_pendiente
2,143,3,2712,30554,3.0000000000000000,2,108.0000000000000000,0,0,mejorar
2,143,3,2712,30554,3.0000000000000000,2,156.0000000000000000,0,0,mejorar
2,143,3,2712,30554,5.0000000000000000,2,216.0000000000000000,0,0,reto_pendiente
2,12,3,2712,30554,5.0000000000000000,1,216.0000000000000000,0,0,reto_pendiente
2,12,3,2712,30554,5.0000000000000000,1,168.0000000000000000,0,0,reto_pendiente
2,12,3,2712,30554,4.0000000000000000,3,248.0000000000000000,0,0,reto_pendiente
2,12,3,2712,30554,2.5000000000000000,2,300.0000000000000000,0,0,mejorar
2,162,3,2712,30554,4.0000000000000000,1,216.0000000000000000,0,0,reto_pendiente
2,162,3,2712,30554,4.0000000000000000,2,72.0000000000000000,0,0,reto_pendiente
2,162,3,2712,30554,4.0000000000000000,1,264.0000000000000000,0,0,reto_pendiente
2,181,3,2712,30554,3.0000000000000000,2,336.0000000000000000,0,0,mejorar
2,81,3,2712,30554,3.5000000000000000,2,120.0000000000000000,0,0,reto_pendiente
2,81,3,2712,30554,2.5000000000000000,2,192.0000000000000000,0,0,mejorar
2,28,3,2712,30554,3.0000000000000000,2,180.0000000000000000,0,0,mejorar
2,28,3,2712,30554,4.0000000000000000,1,192.0000000000000000,0,0,reto_pendiente
2,125,3,2712,30554,4.3333333333333333,3,112.0000000000000000,0,0,reto_pendiente
2,125,3,2712,30554,4.0000000000000000,1,96.0000000000000000,0,0,reto_pendiente
2,125,3,2712,30554,4.0000000000000000,1,120.0000000000000000,0,0,reto_pendiente
2,125,3,2712,30554,5.0000000000000000,1,192.0000000000000000,0,0,reto_pendiente
2,125,3,2712,30554,4.5000000000000000,2,192.0000000000000000,0,0,reto_pendiente
2,187,3,2712,30554,3.5000000000000000,4,126.0000000000000000,0,0,reto_pendiente
2,187,3,2712,30554,4.0000000000000000,1,240.0000000000000000,0,0,reto_pendiente
2,187,3,2712,30554,5.0000000000000000,1,168.0000000000000000,0,0,reto_pendiente
2,174,3,2712,30554,3.0000000000000000,3,96.0000000000000000,0,0,mejorar
2,174,3,2712,30554,5.0000000000000000,1,120.0000000000000000,0,0,reto_pendiente
2,155,3,2712,30554,5.0000000000000000,1,288.0000000000000000,0,0,reto_pendiente
2,155,3,2712,30554,3.0000000000000000,1,336.0000000000000000,0,0,mejorar
2,155,3,2712,30554,2.0000000000000000,2,108.0000000000000000,0,0,mejorar
2,155,3,2712,30554,3.5000000000000000,2,156.0000000000000000,0,0,reto_pendiente
2,126,3,2712,30554,3.0000000000000000,3,160.0000000000000000,0,0,mejorar
2,31,3,2712,30554,2.5000000000000000,2,216.0000000000000000,0,0,mejorar
2,31,3,2712,30554,4.5000000000000000,2,132.0000000000000000,0,0,reto_pendiente
2,68,3,2712,30554,1.5000000000000000,2,252.0000000000000000,0,0,mejorar
2,68,3,2712,30554,5.0000000000000000,2,240.0000000000000000,0,0,reto_pendiente
2,68,3,2712,30554,1.00000000000000000000,1,240.0000000000000000,0,0,mejorar
2,68,3,2712,30554,5.0000000000000000,1,168.0000000000000000,0,0,reto_pendiente
2,200,3,2712,30554,4.0000000000000000,2,132.0000000000000000,0,0,reto_pendiente
2,30,3,2712,30554,2.0000000000000000,1,240.0000000000000000,0,0,mejorar
2,109,3,2712,30554,4.5000000000000000,2,108.0000000000000000,0,0,reto_pendiente
